zh	en
过滤式方法	Filter Method
微调	Fine-Tuning
有限差分	Finite Difference
第一层	First Layer
一阶方法	First-Order Method
一阶规则	First-Order Rule
Fisher信息矩阵	Fisher Information Matrix
不动点方程	Fixed Point Equation
不动点运算	Fixed-Point Arithmetic
平坦最小值	Flat Minima
翻转	Flip
翻转法	Flipping Output
浮点运算	Float-Point Arithmetic
振荡	Fluctuation
聚焦式注意力	Focus Attention
无名氏定理	Folk Theorem
遗忘门	Forget Gate
前向	Forward
前向KL散度	Forward KL Divergence
前向模式累加	Forward Mode Accumulation
前向传播/正向传播	Forward Propagation
前向搜索	Forward Search
前向分步算法	Forward Stagewise Algorithm
前向-后向算法	Forward-Backward Algorithm
傅立叶变换	Fourier Transform
中央凹	Fovea
微步卷积	Fractionally Strided Convolution
自由能	Free Energy
频率主义学派	Frequentist
频率派概率	Frequentist Probability
频率派统计	Frequentist Statistics
Frobenius 范数	Frobenius Norm
全	Full
满条件分布	Full Conditional Distribution
全条件概率	Full Conditional Probability
全填充	Full Padding
完全奇异值分解	Full Singular Value Decomposition
满秩矩阵	Full-Rank Matrix
全连接层	Fully Connected Layer
全连接神经网络	Fully Connected Neural Network
全卷积网络	Fully Convolutional Network
函数	Function
泛函	Functional
泛函导数	Functional Derivative
函数间隔	Functional Margin
功能神经元	Functional Neuron
Gabor函数	Gabor Function
増益率	Gain Ratio
博弈效用	Game Payoff
博弈论	Game Theory
Gamma分布	Gamma Distribution
门	Gate
门控循环神经网络	Gate Controlled RNN
门控	Gated
门控	Gated Control
门控循环网络	Gated Recurrent Net
门控循环单元	Gated Recurrent Unit
门控RNN	Gated RNN
选通器	Gater
门控机制	Gating Mechanism
高斯分布	Gaussian Distribution
高斯误差线性单元	Gaussian Error Linear Unit
高斯核	Gaussian Kernel
高斯核函数	Gaussian Kernel Function
高斯混合模型	Gaussian Mixture Model
高斯混合（模型）	Gaussian Mixtures
高斯输出分布	Gaussian Output Distribution
高斯过程	Gaussian Process
高斯过程回归	Gaussian Process Regression
高斯RBM	Gaussian RBM
高斯-伯努利RBM	Gaussian-Bernoulli RBM
通用问题求解	General Problem Solving
通用GPU	General Purpose GPU
泛化能力	Generalization Ability
泛化误差	Generalization Error
泛化误差上界	Generalization Error Bound
泛化	Generalize
一般化 Bregman 散度	Generalized Bregman Divergence
广义期望极大	Generalized Expectation Maximization
广义函数	Generalized Function
广义拉格朗日函数	Generalized Lagrange Function
广义拉格朗日	Generalized Lagrangian
广义线性模型	Generalized Linear Model
广义伪似然	Generalized Pseudolikelihood
广义伪似然估计	Generalized Pseudolikelihood Estimator
广义瑞利商	Generalized Rayleigh Quotient
广义得分匹配	Generalized Score Matching
生成式对抗框架	Generative Adversarial Framework
生成对抗网络	Generative Adversarial Network
生成方法	Generative Approach
生成式模型	Generative Model
生成式建模	Generative Modeling
生成矩匹配网络	Generative Moment Matching Network
生成式预训练	Generative Pre-Training
生成随机网络	Generative Stochastic Network
生成权重	Generative Weight
生成器	Generator
生成器网络	Generator Network
遗传算法	Genetic Algorithm
几何间隔	Geometric Margin
巨磁阻	Giant Magnetoresistance
吉布斯分布	Gibbs Distribution
吉布斯采样/吉布斯抽样	Gibbs Sampling
吉布斯步数	Gibbs Steps
基尼指数	Gini Index
全局对比度规范化	Global Contrast Normalization
全局马尔可夫性	Global Markov Property
全局极小值	Global Minima
全局极小解	Global Minimizer
全局最小	Global Minimum
全局优化	Global Optimization
梯度	Gradient
梯度上升	Gradient Ascent
梯度上升法	Gradient Ascent Method
梯度提升	Gradient Boosting
梯度提升树	Gradient Boosting Tree
梯度截断	Gradient Clipping
梯度下降	Gradient Descent
一维梯度下降	Gradient Descent In One-Dimensional Space
梯度下降法	Gradient Descent Method
梯度能量分布	Gradient Energy Distribution
梯度估计	Gradient Estimation
梯度爆炸问题	Gradient Exploding Problem
梯度场	Gradient Field
逐渐预热	Gradual Warmup
Gram 矩阵	Gram Matrix
图	Graph
图分析	Graph Analytics
图注意力网络	Graph Attention Network
图卷积神经网络/图卷积网络	Graph Convolutional Network
图神经网络	Graph Neural Network
图论	Graph Theory
图模型	Graphical Model
图形处理器	Graphics Processing Unit
贪心	Greedy
贪心算法	Greedy Algorithm
贪心逐层预训练	Greedy Layer-Wise Pretraining
贪心逐层训练	Greedy Layer-Wise Training
贪心逐层无监督预训练	Greedy Layer-Wise Unsupervised Pretraining
贪心搜索	Greedy Search
贪心监督预训练	Greedy Supervised Pretraining
贪心无监督预训练	Greedy Unsupervised Pretraining
网格搜索	Grid Search
网格世界	Grid World
真实值	Ground Truth
增长函数	Growth Function
Hadamard积	Hadamard Product
汉明距离	Hamming Distance
硬性注意力	Hard Attention
硬聚类	Hard Clustering
硬间隔	Hard Margin
硬间隔最大化	Hard Margin Maximization
硬专家混合体	Hard Mixture Of Experts
硬双曲正切函数	Hard Tanh
硬目标	Hard Target
硬投票	Hard Voting
调和平均	Harmonic Mean
簧风琴	Harmonium
哈里斯链	Harris Chain
豪斯多夫距离	Hausdorff Distance
赫布法则	Hebbian Rule
赫布理论	Hebbian Theory
Helmholtz机	Helmholtz Machine
海赛矩阵	Hesse Matrix
黑塞矩阵	Hessian Matrix
异质信息网络	Heterogeneous Information Network
异方差	Heteroscedastic
隐动态模型	Hidden Dynamic Model
隐藏层	Hidden Layer
隐马尔可夫模型	Hidden Markov Model
隐状态	Hidden State
